"","Recipient","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","country_code","2015 Dev. Asst.","2016 Dev. Asst.","2017 Dev. Asst.","2018 Dev. Asst.","2019 Dev. Asst."
"27","Guinea",38,14,24,44400000,950,38.31764221,13132792,35,39,52,25,20,73044119.315,78523136.5216667,29,"Partly Free",30445,381,5.56196422778949,5.97916547537391,0.00231824276208745,0.0000290113480819615,231.824276208745,2.90113480819615,"GIN",538929992.7,567059997.6,472269989,594440002.4,580679992.7
"28","Indonesia",59,30,29,24993551748,4050,111.6779099,273523621,64,60,64,67,63,2777848176.70833,2106201696.83548,50,"Partly Free",4220206,142261,10.1557889828767,7.70025524353334,0.01542903674853,0.000520104989396875,1542.903674853,52.0104989396876,"IDN",-28459999.08,-108279998.8,280190002.4,962630004.9,-629950012.2
"29","Iraq",29,16,13,-3075600000,5490,239.4130554,40222503,46,41,50,47,53,129683902.032361,126380819.747694,71,"Not Free",2011634,22392,3.22416290284971,3.14204264582178,0.0500126508785393,0.00055670329616235,5001.26508785393,55.670329616235,"IRQ",1482939941,2287899902,2907510010,2300540039,2211909912
"30","Japan",96,40,56,39932871887,41580,4266.586914,125836021,92,95,92,85,97,0,29766,4,"Free",1709325,17756,0,0.000236545941006828,0.0135837496006012,0.000141104270930499,1358.37496006012,14.1104270930499,"JPN",NA,NA,NA,NA,NA
"31","Jordan",34,11,23,825492957.7,4410,330.1418762,10203140,57,55,62,63,47,880529019.290556,202136809.575198,75,"Not Free",827504,10753,86.2998076367232,19.8112355191832,0.0811028761734133,0.00105389125308483,8110.28761734133,105.389125308483,"JOR",2141050049,2727969971,2979659912,2526010010,2797189941
"32","Kenya",48,19,29,1332436904,1750,88.38527679,53771300,50,57,59,40,37,649034397.001007,435797594.212177,194,"Partly Free",250191,5141,12.0702753513679,8.10465051453428,0.00465287244310627,0.0000956086239313537,465.287244310627,9.56086239313537,"KEN",2463560059,2188389893,2480219971,2490929932,3250969971
"33","Kuwait",37,14,23,515617569.4,36290,1711.223389,4270563,74,70,73,83,70,267300,267301,1,"Partly Free",411855,2452,0.0625912789484665,0.0625915131096298,0.09644044590842,0.000574163172396707,9644.044590842,57.4163172396707,"KWT",NA,NA,NA,NA,NA
"34","Kyrgyzstan",28,4,24,278859100,1240,85.73608398,6591600,75,64,73,83,90,96759276.67,61224303.55,24,"Not Free",178783,2608,14.6791790566782,9.28823101371442,0.0271228533284787,0.000395655076157534,2712.28533284787,39.5655076157534,"KGZ",774710022,519489990.2,464970001.2,415959991.5,448709991.5
"35","Lebanon",43,13,30,2223271880,7420,686.4677734,6825442,56,57,56,55,57,325993238.770556,47834552.8930556,62,"Partly Free",626198,8356,47.7614839845618,7.00827182958343,0.0917446811503196,0.00122424306000989,9174.46811503196,122.424306000989,"LBN",965609985.4,1129339966,1303040039,1422180054,1525489990
"36","Lesotho",63,27,36,117671911.4,1290,124.7896729,2142252,38,41,45,37,20,45429082.38,18658994.73,22,"Partly Free",21363,650,21.2062270825281,8.70999057533847,0.00997221615384184,0.000303419018864261,997.221615384184,30.3419018864261,"LSO",86489997.86,112069999.7,145660003.7,153690002.4,145979995.7
