,country,2019 GNI Per Capita,2018 Health Expenditures,2019 FDI Inflows,Per.hundredk.Cases,Per.hundredk.Deaths,samp_status
6,Antigua and Barbuda,16160,875.1725464,139466666.7,3577.117883,86.79846418,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
21,Bolivia (Plurinational State of),3520,223.5978851,-216636843.1,4297.222255,160.7637572,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
45,Czechia,21930,1765.588379,10752120871,15834.40946,284.8705137,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
56,Estonia,23230,1552.96875,2962634486,11937.50531,102.9257199,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
74,Holy See,NA,NA,NA,NA,NA,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
76,Hungary,16530,1081.802856,92164560624,8460.472321,310.0588189,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
77,Iceland,72930,6530.932129,-600034636.6,3263.42362,9.00593573,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
80,Iran (Islamic Republic of),3640,484.2865906,1508000000,6713.342963,144.4728345,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
99,Liechtenstein,NA,NA,NA,9334.766762,152.0832787,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
101,Luxembourg,NA,6227.083984,-11420831094,12418.80511,132.0627891,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
107,Malta,28340,2753.510986,4256165676,7085.867672,87.38113595,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
112,Monaco,NA,2968.500488,NA,8452.247477,84.08928753,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
126,Norway,81620,8239.095703,17055995016,3550.848363,16.00527933,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
135,Poland,15350,978.7356567,14399000000,7671.903745,199.4556004,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
136,Portugal,23150,2215.173584,10332167493,10395.42329,174.6629297,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
143,Saint Kitts and Nevis,19130,992.5917969,92266666.67,3829.523237,28.19972928,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
147,San Marino,NA,3463.700684,NA,16041.01597,268.1360127,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
155,Slovakia,19200,1299.911377,2312686694,14830.14574,232.2110593,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
180,United Kingdom of Great Britain and Northern Ireland,42130,4315.427734,2236675458,11860.8603,204.3850348,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
186,Venezuela (Bolivarian Republic of),NA,256.9468994,934000000,1312.887707,15.86020903,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
